Model,Train Regime,Inference Mode,N,Accuracy,E_train (J),E_inf (J),E_total (J),ECP (J/correct),Rank
MobileNet-V2,Accuracy-optimal (Phase-1),FP32,1000,0.8389,115140,0.005626735999999999,115145.626736,137.25786951484088,1
MobileNet-V2,Accuracy-optimal (Phase-1),FP16,1000,0.8389,115140,0.005980852,115145.980852,137.25829163428298,2
ResNet-18,Accuracy-optimal (Phase-1),FP16,1000,0.9461,370970,0.010185175000000001,370980.185175,392.11519413909735,3
ResNet-18,Accuracy-optimal (Phase-1),FP32,1000,0.9461,370970,0.014920485999999998,370984.920486,392.1201992241835,4
MobileNet-V2,Accuracy-optimal (Phase-1),FP32,10000,0.8389,115140,0.005626735999999999,115196.26736,13.731823502205268,1
MobileNet-V2,Accuracy-optimal (Phase-1),FP16,10000,0.8389,115140,0.005980852,115199.80852,13.732245621647396,2
ResNet-18,Accuracy-optimal (Phase-1),FP16,10000,0.9461,370970,0.010185175000000001,371071.85175,39.22120830250502,3
ResNet-18,Accuracy-optimal (Phase-1),FP32,10000,0.9461,370970,0.014920485999999998,371119.20486,39.226213387591166,4
MobileNet-V2,Accuracy-optimal (Phase-1),FP32,100000,0.8389,115140,0.005626735999999999,115702.6736,1.3792189009417093,1
MobileNet-V2,Accuracy-optimal (Phase-1),FP16,100000,0.8389,115140,0.005980852,115738.0852,1.379641020383836,2
ResNet-18,Accuracy-optimal (Phase-1),FP16,100000,0.9461,370970,0.010185175000000001,371988.5175,3.931809718845788,3
ResNet-18,Accuracy-optimal (Phase-1),FP32,100000,0.9461,370970,0.014920485999999998,372462.0486,3.936814803931931,4
MobileNet-V2,Accuracy-optimal (Phase-1),FP32,1000000,0.8389,115140,0.005626735999999999,120766.736,0.14395844081535344,1
MobileNet-V2,Accuracy-optimal (Phase-1),FP16,1000000,0.8389,115140,0.005980852,121120.852,0.14438056025748003,2
ResNet-18,Accuracy-optimal (Phase-1),FP16,1000000,0.9461,370970,0.010185175000000001,381155.175,0.40286986047986467,3
ResNet-18,Accuracy-optimal (Phase-1),FP32,1000000,0.9461,370970,0.014920485999999998,385890.486,0.4078749455660078,4
